French,English
seulement,only
police,police
pensais,thought
demande,request
aucun,no
chaque,each
longtemps,long time
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
compris,understood
attention,Warning
pourrais,could
affaire,case
type,type
donné,given
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
trouve,find
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
suite,after
pardon,sorry
venez,come
vers,towards
demandé,request
chambre,bedroom
mis,placed
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
donne,given
loin,far
croire,believe
chérie,sweetheart
plutôt,rather
